product_id;product_name;prezzoAcquisto;id;category;price;cost;costoproduzione_foodbev;costoproduzione_materiali;costoproduzione_extra;costoproduzione_personale;costoproduzione_struttura;costoproduzione_consumi
695;ALTAVILLA;3,6;736;15;12;1,2;0,6;0,24;0,36;1,8;0,6;1,2
696;MOSCATO;3,9;737;28;13;1,3;0,65;0,26;0,39;1,95;0,65;1,3
697;BAROLO CHINATO;1,2;738;28;4;0,4;0,2;0,08;0,12;0,6;0,2;0,4
698;BEN RYE;1,5;739;28;5;0,5;0,25;0,1;0,15;0,75;0,25;0,5
699;PASSITO;1,35;740;28;4,5;0,45;0,225;0,09;0,135;0,675;0,225;0,45
7;TAGL. PORC.;2,1;7;2;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
70;BIANCANEVE;1,2;70;6;4;0,4;0,2;0,08;0,12;0,6;0,2;0,4
700;BABY 4FORM.;1,8;741;29;6;0,6;0,3;0,12;0,18;0,9;0,3;0,6
701;BABY 4STAG.;1,8;742;29;6;0,6;0,3;0,12;0,18;0,9;0,3;0,6
702;BABY AMER.;1,35;743;29;4,5;0,45;0,225;0,09;0,135;0,675;0,225;0,45
703;BABY ASPARAGI;1,8;744;29;6;0,6;0,3;0,12;0,18;0,9;0,3;0,6
704;BABY BERGE;1,5;745;29;5;0,5;0,25;0,1;0,15;0,75;0,25;0,5
705;BABY BIANCANEVE;1,05;746;29;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
706;BABY BISMARK;1,35;747;29;4,5;0,45;0,225;0,09;0,135;0,675;0,225;0,45
707;BABY BOSCAIOLA;1,8;748;29;6;0,6;0,3;0,12;0,18;0,9;0,3;0,6
708;BABY BUFALINA;1,5;749;29;5;0,5;0,25;0,1;0,15;0,75;0,25;0,5
709;BABY CONT;1,95;750;29;6,5;0,65;0,325;0,13;0,195;0,975;0,325;0,65
71;GORGO PERE;1,8;71;6;6;0,6;0,3;0,12;0,18;0,9;0,3;0,6
710;BABY CRUDO;1,65;751;29;5,5;0,55;0,275;0,11;0,165;0,825;0,275;0,55
711;BABY DIAVOLA;1,5;752;29;5;0,5;0,25;0,1;0,15;0,75;0,25;0,5
712;BABY  FUNGHI;1,5;753;29;5;0,5;0,25;0,1;0,15;0,75;0,25;0,5
713;BABY GORGO;1,35;754;29;4,5;0,45;0,225;0,09;0,135;0,675;0,225;0,45
714;BABY GRECA;1,2;755;29;4;0,4;0,2;0,08;0,12;0,6;0,2;0,4
715;BABY MARGH;1,05;756;29;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
716;BABY NAPOLI;1,35;757;29;4,5;0,45;0,225;0,09;0,135;0,675;0,225;0,45
717;BABY PAZZA;1,95;758;29;6,5;0,65;0,325;0,13;0,195;0,975;0,325;0,65
718;BABY PORC;1,8;759;29;6;0,6;0,3;0,12;0,18;0,9;0,3;0,6
